id,brand,car_model,type,desc,problem,datetime,status
569426,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 都市版 国V,一汽丰田RAV4荣放车身生锈 漆面起泡,"H79,H81,",2021-02-01,信息审核
569424,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408电源管理模块故障要求免费维修,"H146,",2021-02-01,信息审核
569420,东风日产,轩逸,2021款 经典 1.6 XE 手动 舒适版,东风日产轩逸变速箱异响希望厂家处理,"B33,",2021-02-01,信息审核
569419,北京奔驰,奔驰GLC,2021款 GLC 300 L 4MATIC 动感型,北京奔驰GLC发动机启停功能故障 刹车抖动,"E43,E111,H263,",2021-02-01,厂家受理
569418,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 时尚型,奇瑞瑞虎8行驶过程中发动机突然熄火,"A14,",2021-02-01,信息审核
569415,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁后轮吃胎偏磨希望处理,"G245,",2021-02-01,信息审核
569414,广汽菲克菲亚特,致悦,2014款 1.4T 自动 舒适型,菲亚特致悦行驶时变速箱失去动力,"B334,",2021-02-01,信息审核
569407,上汽大众斯柯达,柯迪亚克,2018款 TSI330 两驱 舒适版 5座,斯柯达柯迪亚克变速箱故障报警 无法加速,"B20,B96,B334,",2021-02-01,信息审核
569405,东风日产,骐达TIIDA,2020款 1.6L CVT 智行版,日产骐达售后维修技术差导致故障加重,"H147,J303,",2021-02-01,信息审核
569401,吉利汽车,嘉际,2021款 智擎 1.5TD DCT 尊贵型,吉利嘉际旅游基金一直不兑现希望处理,"L313,",2021-02-01,信息审核
569398,吉利汽车,帝豪GL,2018款 1.8L 自动 精英智联型,吉利帝豪GL变速器漏油经销商不解决问题,"B22,I295,",2021-02-01,信息审核
569396,一汽丰田,卡罗拉,2016款 1.6L CVT  GL-i炫酷版,一汽丰田卡罗拉4S店以原厂名义换副厂配件,"N319,",2021-02-01,信息审核
569392,东风风行,景逸X5,2017款 1.6L 手动 豪华型,东风风行景逸X5离合器异响 发动机异响,"A9,C65,",2021-02-01,信息审核
569391,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度起动发动机时存在打齿异响,"A9,",2021-02-01,信息审核
569390,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞左右半轴防尘套漏油,"G161,",2021-02-01,信息审核
569389,华晨宝马,宝马3系,2016款 320Li 豪华设计套装,华晨宝马3系方向盘喇叭及功能键经常失灵	,"H151,H71,",2021-02-01,信息审核
569388,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机报警 加速无力,"A34,A163,",2021-02-01,信息审核
569387,北京现代,名图,2019款 1.8L 自动 智能型GLS 纪念款 国VI,北京现代名图司机座椅塌陷要求解决,"H169,",2021-02-01,信息审核
569381,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 进取型,捷达VS5电瓶负极漏电解液要求解决,"H146,",2021-02-01,处理反馈
569379,一汽-大众,宝来,2019款 改款 280TSI DSG 精英型 国VI,一汽大众宝来涡轮增压有油污 发动机缺机油,"A12,A189,",2021-02-01,处理反馈
569378,东风风行,菱智M5EV,2020款 舒适型 7座,东风风行菱智M5EV多次熄火4S店找不到原因,"A14,J301,",2021-02-01,信息审核
569376,猎豹汽车,Mattu,2020款 1.6T DCT 尊贵型,猎豹Mattu发动机故障 变速箱无动力输出,"A34,B246,H134,",2021-02-01,信息审核
569374,北京现代,伊兰特,2021款 240TGDi TOP 旗舰版,北京现代伊兰特交款之后厂家不发车,"L312,",2021-02-01,信息审核
569367,广汽本田,飞度,2016款 1.5L SE CVT 时尚型,广汽本田飞度发动机冷启动VTC执行器异响,"A9,",2021-02-01,信息审核
569364,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L经销商收取服务费 强制购买,"K307,K325,N317,",2021-02-01,信息审核
569361,SWM斯威汽车,SWM斯威X7,2016款 1.5T 舒适型,SWM斯威X7发动机熄火底盘异响转向间隙大,"A14,D337,G56,",2021-02-01,信息审核
569357,奇瑞汽车,艾瑞泽5,2019款 1.5L 手动 新青春版 国VI,奇瑞艾瑞泽5车门漏水希望尽快得到处理,"H109,",2021-02-01,信息审核
569354,吉利汽车,嘉际,2019款 1.8TD 自动 舒享型,吉利嘉际4S店不予返还旅游基金 暴力拆卸,"J300,J299,L313,",2021-02-01,厂家受理
569351,东风日产,轩逸,2016款 1.6XV CVT 智享版,东风日产轩逸上传错误维修记录导致车辆贬值,"J299,",2021-02-01,信息审核
